,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
radius_mean,0.9319241025846141,0.15407501897189402,0.9102109228517551,1.0314654704149033,-0.06234203894213419,0.07504963104274322,0.2950689571422998,0.572052837960146,-0.13051624131016307,-0.61959859990054,0.7531421495064348,-0.001210947153524687,0.7274474224738855,0.8947003347446587,-0.033484838750844695,-0.20978927735799957,-0.26164697696961664,-0.002893460961853073,-0.09712437720286067,-0.38271652460050604,0.8471172113150093,0.026618979528790405,0.8197365062507361,0.9422341434289513,-0.21438914624628716,-0.19097703288418516,-0.08106923718295776,0.2582407093067284,-0.31736765068475514,-0.5840596508991829
texture_mean,0.15407501897189402,0.8027445167776378,0.15604011957473873,0.16184529006164536,-0.05857277829872326,0.050167851994470374,0.044449821646385584,0.07165892284912334,-0.06828041450359602,-0.11924843402293397,0.057734558059738574,0.18887934783501667,0.07703960055898633,0.09542126389099295,-0.002219322388707093,0.02071180203347405,-0.1056983079118871,-0.04936284877216967,-0.12898560515356552,-0.0974457699819063,0.1781286992314703,0.7117342615344343,0.18293333451310492,0.19363010610856074,0.05794763307695215,0.12561055167197285,0.06636743020162565,0.059520545907677046,-0.051064124522949526,0.017368374087982873
perimeter_mean,0.9102109228517551,0.15604011957473873,0.8964549493871591,1.0097809432538347,-0.016721296384993655,0.15038148968041545,0.35029036180374673,0.6020352947988641,-0.07488513998618053,-0.5369043974954241,0.7580277002617178,0.01945578942682626,0.7468528622438436,0.8949516124761506,-0.011760877208526383,-0.14318929580630044,-0.21234245973532756,0.033957293620451745,-0.054826471260810555,-0.32870231620121865,0.8245450126059735,0.027049570675007736,0.8079759019087402,0.9189441718629093,-0.18314635501410093,-0.12961410876663035,-0.031830372679632034,0.282465042004021,-0.2815562362466116,-0.5188455992914994
area_mean,1.0314654704149033,0.16184529006164536,1.0097809432538347,1.1692843077926778,-0.05333783015882649,0.0954668947314372,0.36994653221061985,0.6466393385972763,-0.14094501125396872,-0.6409930241192012,0.9155326334671692,0.015596236960132721,0.8892785775151227,1.1001767335674955,-0.009037652567231184,-0.1926044931304821,-0.21180658094309932,0.03288391138325197,-0.0846009004348653,-0.36900287242588664,0.9423525995173536,0.01866149406296292,0.9148780460593465,1.0755999758379535,-0.23322557254244336,-0.20532652160049458,-0.061407604225606295,0.29073190010951605,-0.3674834205718718,-0.6220521939053605
smoothness_mean,-0.06234203894213419,-0.05857277829872326,-0.016721296384993655,-0.05333783015882649,0.8015134946145328,0.5540497012285608,0.49803239837378416,0.435576466918867,0.5327780082038653,0.6200143749878296,0.16156385992368266,0.12654217078994623,0.1536535225972989,0.1263893524358933,0.27276178017398045,0.226034225407637,0.17162859683082674,0.1257890736920643,0.26010627228619376,0.17193637667577077,-0.029248953145106782,0.017426821581887787,0.00341246361658023,-0.03187172210664436,0.6505367012574185,0.40797209893386466,0.3572447052769438,0.3154340995571977,0.3951247307728468,0.48523901814927245
compactness_mean,0.07504963104274322,0.050167851994470374,0.15038148968041545,0.0954668947314372,0.5540497012285608,0.9524195609340832,0.7374800962852364,0.5648963720278594,0.6784201077833409,0.7996692974827613,0.283302014839443,0.19444816764740336,0.3868061381120251,0.24292435990515804,0.2017781640622019,0.724004036155868,0.45842557187405003,0.3987350608626844,0.480846492642116,0.49031300870854766,0.06755049221543037,0.02088322797202104,0.1582587099078355,0.08017390055828455,0.3605967847234413,0.7635723192068796,0.583687770080712,0.4323857445712692,0.46037262938661005,0.6678940538631453
concavity_mean,0.2950689571422998,0.044449821646385584,0.35029036180374673,0.36994653221061985,0.49803239837378416,0.7374800962852364,0.8820737504138958,0.668032899616459,0.5170559524053601,0.5178352567590627,0.5101500222727048,0.226588098459024,0.5577736718719489,0.5247830674943638,0.2823599550770958,0.5894057478776777,0.7026791963652999,0.4927024577206653,0.38917156600035985,0.4654416130759341,0.24016860726149541,-0.03804780366755902,0.3038974742808379,0.303179179039982,0.22522616501266945,0.4474332454412534,0.5937221170143795,0.4140880873034755,0.17062006890931847,0.3242180588147127
concave points_mean,0.5720528379601462,0.07165892284912334,0.6020352947988641,0.6466393385972763,0.435576466918867,0.5648963720278594,0.668032899616459,0.7671007955193728,0.3638444171521184,0.1225501293155322,0.6307564885637769,0.1286163773071176,0.6470974237481347,0.6709075527425667,0.13422334714564194,0.2009875225576329,0.1326950139559174,0.25882678475200016,0.19705526056538136,0.03923051941050463,0.5224673271414726,-0.005883001381315092,0.5504669637428445,0.5854546142156952,0.172556106807411,0.22998846383493865,0.28193145871743025,0.4501698852808162,0.06552282726296363,-0.007971148400610816
symmetry_mean,-0.13051624131016307,-0.06828041450359602,-0.07488513998618052,-0.14094501125396872,0.5327780082038653,0.6784201077833409,0.5170559524053601,0.3638444171521184,1.0542609101810172,0.7346105586560537,0.12591766022627385,0.1969122272483261,0.16736602191711833,0.044202244877301705,0.10042406399280938,0.4748853244329122,0.4147565019999699,0.31809938210177696,0.6618095551050769,0.3614884832579213,-0.10925327952983292,-0.023893016445046402,-0.05044506559877488,-0.12641212834478813,0.34474380599718746,0.5142740945699532,0.40722012581063205,0.2997298674661575,0.8461307348984509,0.5435793653121844
fractal_dimension_mean,-0.61959859990054,-0.11924843402293397,-0.5369043974954241,-0.6409930241192012,0.6200143749878296,0.7996692974827613,0.5178352567590627,0.1225501293155322,0.7346105586560537,1.404164572941464,-0.19997571472669748,0.2767221630303491,-0.10689215589247045,-0.3467393437660106,0.259149566870885,0.8521083327711367,0.793591734077866,0.46148751662423654,0.5500261284527459,0.9620062983793709,-0.5635175166597759,-0.056129281537978706,-0.47598200274070734,-0.5920147854078349,0.4918909936105585,0.7425069513191022,0.5790658489187263,0.18072557539203782,0.5936393356253631,1.136674110494661
radius_se,0.753142149506435,0.057734558059738574,0.7580277002617178,0.9155326334671692,0.16156385992368266,0.283302014839443,0.5101500222727048,0.6307564885637769,0.12591766022627385,-0.19997571472669748,1.529554127405985,0.27877989903751954,1.482915932730723,1.5938315655910311,0.3134158525986037,0.18989087497371326,0.20992333687151568,0.43723546953428843,0.3717441106883423,0.09723711666619818,0.7654542228848485,-0.11885782627529504,0.759273313042726,0.9222914572815878,-0.16579624161226347,-0.17025195380492944,-0.03550989307888783,0.23499321102774853,-0.329601800420443,-0.43767398300279803
texture_se,-0.001210947153524685,0.1888793478350167,0.019455789426826253,0.015596236960132724,0.12654217078994623,0.19444816764740336,0.226588098459024,0.1286163773071176,0.1969122272483261,0.2767221630303491,0.2787798990375195,0.7779395883090124,0.34136713239319727,0.19632571040352806,0.3684762927964518,0.4799130990801697,0.4463588243720797,0.4595050948905631,0.5034579934408324,0.5164973629254275,-0.07081363843068145,0.2228469553229992,-0.04473535958727825,-0.06522450987651647,-0.07611409980142807,-0.04312993228426344,-0.009405039549663529,-0.054537329584244364,-0.09353355815842304,-0.0017508793522265924
perimeter_se,0.7274474224738855,0.07703960055898633,0.7468528622438435,0.8892785775151225,0.1536535225972989,0.3868061381120251,0.5577736718719489,0.6470974237481347,0.16736602191711833,-0.10689215589247045,1.482915932730723,0.34136713239319727,1.555891336944211,1.5645132026528517,0.3075096255193724,0.3118971540611014,0.2506480453379306,0.5239946040193537,0.4554314979860931,0.13483354816699247,0.7080299610085176,-0.10933848930429448,0.7444423825631011,0.8582395565783738,-0.2016420433552801,-0.07300356353048097,0.021230607596075615,0.25993623854725084,-0.30511057404950476,-0.3741232481455387
area_se,0.8947003347446587,0.09542126389099294,0.8949516124761506,1.1001767335674955,0.1263893524358933,0.24292435990515804,0.5247830674943638,0.6709075527425667,0.044202244877301705,-0.3467393437660106,1.5938315655910311,0.1963257104035281,1.5645132026528517,1.817513039125353,0.24984952552755033,0.09334442309351225,0.0969830213500482,0.3043939729459178,0.23716834541979093,-0.05207398904907514,0.8893240690887227,-0.07864585644214105,0.8817877404739219,1.1013540248285278,-0.18071883081677245,-0.1704810664168799,-0.021230209945636173,0.2633314153560139,-0.38263704795692755,-0.5019955808953296
smoothness_se,-0.0334848387508447,-0.002219322388707093,-0.011760877208526383,-0.00903765256723119,0.27276178017398045,0.2017781640622019,0.2823599550770958,0.1342233471456419,0.10042406399280938,0.259149566870885,0.3134158525986037,0.3684762927964518,0.3075096255193724,0.2498495255275503,0.9318868656585789,0.49065156126448356,0.5408707304516743,0.5344622025701035,0.4006754279429462,0.47613210157421837,-0.12122771027626544,-0.10898865929045304,-0.10119549689966299,-0.11889395089436629,0.1689486257206069,-0.03681901899526597,0.03707746105839356,-0.01868402132617523,-0.21151338952155457,-0.011616216488326598
compactness_se,-0.20978927735799957,0.02071180203347405,-0.14318929580630044,-0.1926044931304821,0.226034225407637,0.724004036155868,0.5894057478776776,0.2009875225576329,0.4748853244329122,0.8521083327711367,0.18989087497371326,0.4799130990801697,0.3118971540611014,0.09334442309351225,0.49065156126448356,1.337121391492094,1.0878060125182056,0.8023610392738507,0.795783637747029,1.1555906045402347,-0.27683080791564135,-0.08902924295674909,-0.18217795064517325,-0.26715690134423603,-0.018181348640241325,0.6512197090988989,0.5288019582147645,0.12894014739026366,0.21797479308412518,0.6590299049109889
concavity_se,-0.26164697696961664,-0.1056983079118871,-0.2123424597353275,-0.21180658094309937,0.17162859683082674,0.45842557187405003,0.7026791963652999,0.1326950139559174,0.4147565019999699,0.793591734077866,0.20992333687151568,0.4463588243720797,0.25064804533793067,0.0969830213500482,0.5408707304516743,1.0878060125182056,1.6720049481892179,1.003910040082118,0.7061787213337753,1.244969353302448,-0.3322497491524874,-0.23219294843273106,-0.26933598967099015,-0.2913299691711075,-0.09762354728843295,0.2688206351076585,0.6074164002122237,0.05396144146751897,0.047280529269463155,0.4277450064357318
concave points_se,-0.002893460961853073,-0.049362848772169655,0.03395729362045175,0.03288391138325197,0.1257890736920643,0.3987350608626844,0.4927024577206653,0.25882678475200016,0.31809938210177696,0.46148751662423665,0.4372354695342884,0.4595050948905631,0.5239946040193537,0.3043939729459178,0.5344622025701035,0.8023610392738507,1.003910040082118,1.0563321042127773,0.6233430761580181,0.8534807733666709,-0.0775192527401056,-0.213982399149093,-0.023480387110745377,-0.05141853646897383,-0.14951938286019614,0.08547166149120342,0.23237896779046058,0.15742740543982736,-0.11031851097317175,0.09345195758482641
symmetry_se,-0.09712437720286067,-0.12898560515356555,-0.054826471260810555,-0.0846009004348653,0.26010627228619376,0.480846492642116,0.38917156600035985,0.19705526056538136,0.6618095551050769,0.5500261284527459,0.3717441106883423,0.5034579934408324,0.4554314979860931,0.23716834541979093,0.4006754279429462,0.795783637747029,0.7061787213337753,0.6233430761580181,1.5507820952632008,0.6422149228571646,-0.20002651240643549,-0.20005741040969058,-0.14811430030466216,-0.2257853159021041,-0.10171317909638262,0.20006177154885177,0.16833166245290573,0.035687874121257665,0.7043640188258379,0.15116186168995493
fractal_dimension_se,-0.38271652460050604,-0.0974457699819063,-0.32870231620121865,-0.36900287242588664,0.17193637667577077,0.49031300870854766,0.4654416130759341,0.03923051941050463,0.3614884832579213,0.9620062983793709,0.09723711666619818,0.5164973629254275,0.13483354816699247,-0.05207398904907514,0.47613210157421837,1.1555906045402347,1.244969353302448,0.8534807733666709,0.6422149228571647,1.528190531791502,-0.4368971281450032,-0.20154049947906166,-0.37736756535106347,-0.4293263237258407,-0.08686427088658547,0.32438536659388806,0.3428991731502713,-0.04284602940477851,0.002486736319762233,0.6813271501366807
