Seed,Average_LogLikelihood,Total_LogLikelihood,Iterations,Converged
0,0.169372047759328,96.37269517505763,8,True
1,0.169372047759328,96.37269517505763,8,True
2,0.09841065557536822,55.99566302238452,10,True
3,0.09841065557536822,55.99566302238452,10,True
4,0.169372047759328,96.37269517505763,8,True
5,0.169372047759328,96.37269517505763,8,True
6,0.09841065557536822,55.99566302238452,10,True
7,0.169372047759328,96.37269517505763,8,True
8,0.169372047759328,96.37269517505763,8,True
9,0.09841065557536822,55.99566302238452,10,True
10,0.10006031269822771,56.934317925291566,10,True
11,0.16937318771965193,96.37334381248195,9,True
12,0.169372047759328,96.37269517505763,8,True
13,0.09841065557536822,55.99566302238452,10,True
14,0.169372047759328,96.37269517505763,8,True
15,0.169372047759328,96.37269517505763,8,True
16,0.169372047759328,96.37269517505763,8,True
17,0.09841065557536822,55.99566302238452,10,True
18,0.09841065557536822,55.99566302238452,10,True
19,0.169372047759328,96.37269517505763,8,True
